Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
36-40,Male,Carolina Panthers,North Carolina,North Carolina,,25+,Yes,Yes,$200-$299,No,Yes,Basketball,Carolina Panthers,Christian Mccaffrey
41-50,Male,Dallas Cowboys,Texas,Texas,,10-14,No,Yes,$100-$199,Yes,No,None,Green Bay Packers,
41-50,Male,Tennessee Titans,Tennessee,Georgia,,25+,Yes,Yes,$0-$49,Yes,No,None,Tampa Bay Buccaneers,Derrick Henry
16-20,Male,Atlanta Falcons,Georgia,Georgia,,6-9,No,No,$0-$49,No,Yes,"Baseball,Basketball",Buffalo Bills,Tom Brady
26-30,Male,Baltimore Ravens,Maryland,Arizona,,15-19,Yes,Yes,$50-$99,No,No,Baseball,Buffalo Bills,Justin Tucker
51+,Female,Los Angeles Rams,California,California,,25+,Yes,Yes,$200-$299,No,No,"Baseball,Basketball,Hockey,Tennis,Golf",Buffalo Bills,Patrick Mahomes
31-35,Male,Los Angeles Chargers,California,Oregon,,25+,Yes,No,$0-$49,No,No,"Baseball,Basketball",Los Angeles Chargers,Justin Herbert
41-50,Male,Tampa Bay Buccaneers,Florida,Florida,,25+,Yes,Yes,$300-$499,Yes,Yes,Hockey,Tampa Bay Buccaneers,Tom Brady
21-25,Male,New England Patriots,Massachusetts,Florida,,15-19,Yes,Yes,$500-$999,No,Yes,"Basketball,Hockey",Tampa Bay Buccaneers,Devin Mccourty
31-35,Male,Los Angeles Chargers,California,California,,10-14,Yes,Yes,$500-$999,Yes,Yes,Basketball,Buffalo Bills,Austin Ekeler
21-25,Male,Tampa Bay Buccaneers,Florida,North Carolina,,15-19,Yes,Yes,$0-$49,No,No,"Baseball,Basketball,Hockey,Esports",Tampa Bay Buccaneers,Mike Evans
Under 16,Male,Baltimore Ravens,Maryland,Virginia,,6-9,Yes,Yes,$0-$49,No,Yes,Mixed Martial Arts,Kansas City Chiefs,Justin Tucker
21-25,Male,New England Patriots,Massachusetts,Other,Canada,6-9,No,Yes,$50-$99,Yes,No,Hockey,Las Vegas Raiders,Tom Brady
21-25,Male,New England Patriots,Massachusetts,Other,Canada,10-14,No,Yes,$50-$99,Yes,No,"Basketball,Golf",Buffalo Bills,Tom Brady
26-30,Male,Tampa Bay Buccaneers,Florida,Florida,,15-19,Yes,Yes,$0-$49,No,No,Hockey,Tampa Bay Buccaneers,
36-40,Male,Tampa Bay Buccaneers,Florida,Florida,,25+,Yes,Yes,$50-$99,Yes,Yes,Hockey,Tampa Bay Buccaneers,Lavonte David
21-25,Male,Tampa Bay Buccaneers,Florida,Michigan,,15-19,Yes,Yes,$50-$99,No,No,Baseball,Tampa Bay Buccaneers,Mike Evans
21-25,Male,New England Patriots,Massachusetts,Rhode Island,,15-19,Yes,No,$0-$49,No,No,Basketball,Buffalo Bills,Lamar Jackson
21-25,Male,New England Patriots,Massachusetts,Other,Germany,3-5,No,Yes,$0-$49,Yes,Yes,"Soccer (Only Europe), Darts, Chess",Buffalo Bills,Kendrick Bourne
51+,Male,Kansas City Chiefs,Missouri,California,,25+,No,No,$50-$99,No,No,"Basketball,Hockey,Olympics Stuff",Buffalo Bills,Patrick Mahomes
31-35,Female,Denver Broncos,Colorado,California,,25+,Yes,Yes,$50-$99,No,No,"Baseball,Basketball,Hockey",Buffalo Bills,Von Miller
26-30,Male,Los Angeles Rams,California,California,,15-19,No,No,$0-$49,No,Yes,"Baseball,Basketball,Boxing",Los Angeles Rams,Aaron Donald
16-20,Male,Tennessee Titans,Tennessee,Tennessee,,6-9,Yes,Yes,Prefer not to answer,No,No,Hockey,Los Angeles Chargers,Justin Jefferson
16-20,Male,Minnesota Vikings,Minnesota,Minnesota,,6-9,Yes,Yes,$50-$99,Yes,Yes,"Basketball,Hockey,Golf",Minnesota Vikings,Justin Jefferson
21-25,Male,New England Patriots,Massachusetts,North Carolina,,20-24,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey,Golf",New England Patriots,Mac Jones
