Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
36-40,Male,Minnesota Vikings,Minnesota,New Mexico,,25+,Yes,Yes,$100-$199,No,Yes,F1,Minnesota Vikings,Harrison Smith
21-25,Female,Dallas Cowboys,Texas,Texas,,20-24,Yes,Yes,$100-$199,No,Yes,Baseball,Buffalo Bills,Dak Prescott
16-20,Male,Los Angeles Chargers,California,Other,Australia,6-9,No,Yes,$0-$49,No,No,Basketball,Buffalo Bills,
41-50,Female,Miami Dolphins,Florida,Florida,,25+,Yes,Yes,$0-$49,Yes,No,None,Miami Dolphins,Jevon Holland
31-35,Male,Denver Broncos,Colorado,Washington,,25+,Yes,Yes,$200-$299,Yes,Yes,Baseball,Buffalo Bills,Von Miller
21-25,Male,Minnesota Vikings,Minnesota,Iowa,,20-24,Yes,Yes,$0-$49,No,Yes,Tennis,Buffalo Bills,Justin Jefferson
26-30,Male,Los Angeles Rams,California,California,,6-9,Yes,Yes,$500-$999,No,No,"Baseball,Basketball,Hockey",Los Angeles Rams,Cooper Kupp
26-30,Male,Los Angeles Chargers,California,California,,15-19,Yes,No,$0-$49,Yes,Yes,"Baseball,Soccer",Buffalo Bills,Justin Herbert
Under 16,Male,Kansas City Chiefs,Missouri,Arkansas,,3-5,Yes,No,$100-$199,No,Yes,"Basketball,Hockey",Kansas City Chiefs,Patrick Mahomes
16-20,Male,Miami Dolphins,Florida,Kentucky,,0-2,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball",Los Angeles Rams,Tua Tagovailoa
26-30,Male,Minnesota Vikings,Minnesota,Other,Ireland,3-5,Yes,Yes,$200-$299,Yes,No,"Hurling, Gaelic Football And Formula 1",Minnesota Vikings,
16-20,Male,Miami Dolphins,Florida,Florida,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Basketball,Golf",Buffalo Bills,Tua Tagovailoa
41-50,Male,Miami Dolphins,Florida,California,,25+,Yes,Yes,$0-$49,Yes,Yes,None,Miami Dolphins,Javon Holland
Under 16,Male,Dallas Cowboys,Texas,South Carolina,,3-5,No,Yes,$50-$99,No,No,Basketball,Buffalo Bills,Ceedee Lamb
36-40,Male,Minnesota Vikings,Minnesota,Illinois,,15-19,Yes,Yes,$50-$99,Yes,Yes,None,Minnesota Vikings,
Under 16,Male,Denver Broncos,Colorado,North Carolina,,6-9,No,Yes,$0-$49,No,No,"Baseball,Basketball",Denver Broncos,Von Miller
16-20,Male,Detroit Lions,Michigan,Michigan,,6-9,No,Yes,$100-$199,Yes,Yes,"Baseball,Basketball,Hockey",San Francisco 49ers,Malcolm Rodriguez
31-35,Male,Los Angeles Chargers,California,California,,6-9,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Golf",Los Angeles Chargers,Justin Herbert
36-40,Male,Pittsburgh Steelers,Pennsylvania,Ohio,,20-24,Yes,Yes,$100-$199,No,Yes,Hockey,Buffalo Bills,Josh Allen
21-25,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,10-14,Yes,Yes,$100-$199,No,No,"Hockey,Ncaa Wrestling",Buffalo Bills,Pat Freiermuth
21-25,Male,Detroit Lions,Michigan,Maine,,15-19,Yes,Yes,$300-$499,Yes,Yes,"Baseball,Basketball,Nascar And Other Motorsports",Buffalo Bills,Matt Stafford
26-30,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$100-$199,Yes,Yes,Basketball,Buffalo Bills,Melvin Gordon
26-30,Male,New England Patriots,Massachusetts,New York,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Hockey",Cincinnati Bengals,Mac Jones
16-20,Male,Denver Broncos,Colorado,Colorado,,0-2,No,No,$0-$49,Yes,Yes,Soccer,Buffalo Bills,Von Miller
31-35,Male,New England Patriots,Massachusetts,California,,15-19,Yes,Yes,$300-$499,Yes,Yes,None,Buffalo Bills,Tom Brady
21-25,Male,Los Angeles Chargers,California,California,,10-14,Yes,Yes,$100-$199,Yes,Yes,Basketball,Los Angeles Chargers,Justin Herbert
31-35,Male,Pittsburgh Steelers,Pennsylvania,Connecticut,,20-24,Yes,No,$0-$49,Yes,Yes,Golf,Buffalo Bills,Tj Watt
41-50,Male,New England Patriots,Massachusetts,North Carolina,,20-24,No,Yes,$100-$199,No,No,"Baseball,Golf",Buffalo Bills,Matthew Slater
26-30,Male,Minnesota Vikings,Minnesota,New York,,15-19,Yes,Yes,$0-$49,Yes,No,"Baseball,Basketball,Hockey,Golf",Buffalo Bills,Eric Kendricks
31-35,Male,Seattle Seahawks,Washington,Washington,,15-19,Yes,No,$0-$49,Yes,No,"Baseball,Basketball",Los Angeles Chargers,
21-25,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$0-$49,No,No,Basketball,Denver Broncos,
21-25,Male,Los Angeles Chargers,California,South Carolina,,10-14,No,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,Justin Herbert
36-40,Male,Pittsburgh Steelers,Pennsylvania,Other,Colombia,25+,Yes,Yes,$100-$199,Yes,Yes,Rugby,Buffalo Bills,Cam Heyward
26-30,Male,Cincinnati Bengals,Ohio,Vermont,,10-14,Yes,No,$0-$49,No,No,None,Cincinnati Bengals,Joe Burrow
31-35,Male,Denver Broncos,Colorado,Montana,,25+,Yes,Yes,$50-$99,No,Yes,None,Denver Broncos,
16-20,Female,Detroit Lions,Michigan,Wisconsin,,15-19,Yes,Yes,$100-$199,No,No,"Baseball,Hockey",Buffalo Bills,Jamaal Williams
31-35,Male,Minnesota Vikings,Minnesota,Minnesota,,20-24,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball,Hockey,Tennis,Golf",Buffalo Bills,Justin Jefferson
26-30,Male,Cincinnati Bengals,Ohio,Colorado,,20-24,Yes,No,$300-$499,Yes,Yes,"Baseball,Hockey",Cincinnati Bengals,Evan Mcpherson
31-35,Male,Miami Dolphins,Florida,Texas,,20-24,Yes,Yes,$100-$199,No,Yes,None,Miami Dolphins,Christian Wilkins
